site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon
-------,-----,----------------------------------------,-------,-------,--------,---------,--------------,---,----------,--------,------,NA,NA,NA,NA
002012,02,HALLS CREEK METEOROLOGICAL OFFICE,1944,..,-18.2291,127.6636,GPS,WA,422.0,423.9,99201,"Halls Creek, WA ",/places/wa/halls-creek/,-18.229,127.664
002013,02,IVANHOE STATION,1907,..,-15.6900,128.6833,GPS,WA,40.0,..,..,"Lake Argyle, WA ",/places/wa/FBD6/?location=Lake Argyle,-15.690,128.683
002014,02,KIMBERLEY RES.STATION,1944,..,-15.6545,128.7091,GPS,WA,31.0,..,..,"Lake Argyle, WA ",/places/wa/FBD7/?location=Lake Argyle,-15.655,128.709
002015,02,LAMBOO,1920,2007,-18.4086,127.3547,GPS,WA,400.0,..,..,"Mueller Ranges, WA ",/places/wa/DWUU/?location=Mueller Ranges,-18.409,127.355
002016,02,LISSADELL,1895,..,-16.6742,128.5533,GPS,WA,120.0,..,..,"Lake Argyle, WA ",/places/wa/DZCZ/?location=Lake Argyle,-16.674,128.553
002017,02,LOUISA DOWNS,1915,1995,-18.7106,126.7111,.....,WA,248.0,..,..,"Mueller Ranges, WA ",/places/wa/DWDN/?location=Mueller Ranges,-18.711,126.711
002018,02,MABEL DOWNS,1922,2004,-17.1792,128.1217,GPS,WA,254.0,..,..,"Ord River, WA ",/places/wa/DZ8H/?location=Ord River,-17.179,128.122
002019,02,MARGARET RIVER STATION,1913,..,-18.6253,126.8617,GPS,WA,280.0,..,..,"Mueller Ranges, WA ",/places/wa/DWDZ/?location=Mueller Ranges,-18.625,126.862
002020,02,MOOLA BULLA,1903,..,-18.1894,127.5011,GPS,WA,430.0,..,..,"Mueller Ranges, WA ",/places/wa/DXJ2/?location=Mueller Ranges,-18.189,127.501
002021,02,MOUNT AMHURST,1925,..,-18.3869,126.9892,GPS,WA,300.0,..,..,"Mueller Ranges, WA ",/places/wa/DWGK/?location=Mueller Ranges,-18.387,126.989
002022,02,MOUNT WINIFRED,2000,..,-18.0160,126.3033,GPS,WA,180.0,..,..,"Mueller Ranges, WA ",/places/wa/DX0K/?location=Mueller Ranges,-18.016,126.303
002023,02,NICHOLSON,1921,..,-18.0310,128.8941,GPS,WA,380.0,..,..,"Ord River, WA ",/places/wa/DZ57/?location=Ord River,-18.031,128.894
002024,02,ORD RIVER,1894,1967,-17.4000,128.8500,.....,WA,..,..,..,"Ord River, WA ",/places/wa/DZE0/?location=Ord River,-17.400,128.850
002025,02,ROCKHOLE DOWNS,1922,1949,-18.3667,127.5667,.....,WA,..,..,..,"Mueller Ranges, WA ",/places/wa/DWVT/?location=Mueller Ranges,-18.367,127.567
002026,02,RUBY PLAINS,1900,..,-18.5959,127.6420,GPS,WA,450.0,..,..,"Sturt Creek, WA ",/places/wa/DWY0/?location=Sturt Creek,-18.596,127.642
002027,02,SPEEWA STATION,1908,1944,-16.3500,128.0333,.....,WA,..,..,..,"Durack, WA ",/places/wa/F8PT/?location=Durack,-16.350,128.033
002028,02,SPRING CREEK,1927,..,-16.8180,128.8656,GPS,WA,180.0,..,..,"Lake Argyle, WA ",/places/wa/DZGH/?location=Lake Argyle,-16.818,128.866
002029,02,STURT CREEK,1899,..,-19.1625,128.1633,GPS,WA,400.0,..,..,"Sturt Creek, WA ",/places/wa/DY2J/?location=Sturt Creek,-19.163,128.163
002030,02,YULMBU,1950,..,-17.2986,126.9158,GPS,WA,450.0,..,..,"Mueller Ranges, WA ",/places/wa/DXDF/?location=Mueller Ranges,-17.299,126.916
002031,02,TEXAS DOWNS,1922,1995,-17.0103,128.4669,.....,WA,250.0,..,..,"Ord River, WA ",/places/wa/DZC2/?location=Ord River,-17.010,128.467
002032,02,WARMUN,1897,..,-17.0154,128.2174,GPS,WA,203.0,205.0,94213,"Durack, WA ",/places/wa/DZB2/?location=Durack,-17.015,128.217
002033,02,TURNER RIVER,1920,1965,-17.8000,128.3000,.....,WA,..,..,..,"Ord River, WA ",/places/wa/ord-river/,-17.800,128.300
002034,02,ELVIRE,1962,1969,-18.4500,127.9500,.....,WA,..,..,..,"Ord River, WA ",/places/wa/DWZ7/?location=Ord River,-18.450,127.950
002035,02,GREENVALE,1914,1944,-17.1500,127.7500,.....,WA,..,..,..,"Durack, WA ",/places/wa/DXWM/?location=Durack,-17.150,127.750
002036,02,OLD MORNINGTON HOMESTEAD,2002,..,-17.3922,126.2306,GPS,WA,280.0,..,..,"King Leopold Ranges, WA ",/places/wa/DX80/?location=King Leopold Ranges,-17.392,126.231
002037,02,VIOLET VALLEY,1912,1941,-17.3000,128.0000,.....,WA,..,..,..,"Ord River, WA ",/places/wa/DXXD/?location=Ord River,-17.300,128.000
002038,02,KUNUNURRA,1962,1991,-15.7828,128.7353,.....,WA,47.0,..,..,"Unnamed location, WA ",/places/wa/FBD8/?location=Unnamed location,-15.783,128.735
002039,02,DIMOND GORGE,1963,1989,-17.6667,126.0333,.....,WA,..,..,..,"Mueller Ranges, WA ",/places/wa/DRR7/?location=Mueller Ranges,-17.667,126.033
002040,02,SAUNDERS CREEK,1964,1974,-18.0333,127.9833,.....,WA,..,..,..,"Ord River, WA ",/places/wa/DXP7/?location=Ord River,-18.033,127.983
002041,02,ORD RIVER REGENERATION STATION,1962,1997,-17.3850,128.9231,GPS,WA,170.0,..,..,"Ord River, WA ",/places/wa/DZE2/?location=Ord River,-17.385,128.923
002042,02,GLENROY,1932,1993,-17.3594,126.1086,.....,WA,240.0,..,..,"King Leopold Ranges, WA ",/places/wa/DRX9/?location=King Leopold Ranges,-17.359,126.109
002043,02,MOUNT KRAUSS,1999,..,-18.3368,126.1243,GPS,WA,160.0,..,..,"Mueller Ranges, WA ",/places/wa/DQZT/?location=Mueller Ranges,-18.337,126.124
002044,02,LAKE ARGYLE RESORT,1969,..,-16.1119,128.7414,GPS,WA,163.0,..,..,"Lake Argyle, WA ",/places/wa/FB6D/?location=Lake Argyle,-16.112,128.741
002045,02,FOAL CREEK,1970,1970,-17.3167,127.7000,.....,WA,..,..,..,"Ord River, WA ",/places/wa/DXW6/?location=Ord River,-17.317,127.700
002046,02,ADA VALE,1920,1925,-16.9500,128.1000,.....,WA,..,..,..,"Durack, WA ",/places/wa/DXZC/?location=Durack,-16.950,128.100
002047,02,BEDFORD DOWNS,1970,..,-17.2631,127.4617,GPS,WA,530.0,..,..,"Ord River, WA ",/places/wa/DXT7/?location=Ord River,-17.263,127.462
002048,02,FLORA VALLEY,1970,..,-18.2972,128.4419,GPS,WA,380.0,..,..,"Ord River, WA ",/places/wa/DYCQ/?location=Ord River,-18.297,128.442
