machine_id,machine,second,minute,tcp_new,udp_new,tcp_end,udp_end,tcp_net_connections,tcp_concurrent,udp_net_connections,udp_concurrent
mb_cap,1,321,6,2,1,3,0,-1,64,1,56
mb_cap,1,322,6,0,0,0,0,0,64,0,56
mb_cap,1,323,6,0,0,1,0,-1,63,0,56
mb_cap,1,324,6,2,0,0,0,2,65,0,56
mb_cap,1,325,6,0,0,1,0,-1,64,0,56
mb_cap,1,326,6,0,0,2,0,-2,62,0,56
mb_cap,1,327,6,2,0,1,0,1,63,0,56
mb_cap,1,328,6,0,7,1,5,-1,62,2,58
mb_cap,1,329,6,1,0,0,1,1,63,-1,57
mb_cap,1,330,6,0,0,2,0,-2,61,0,57
mb_cap,1,331,6,0,0,0,0,0,61,0,57
mb_cap,1,332,6,3,0,0,0,3,64,0,57
mb_cap,1,333,6,0,0,1,0,-1,63,0,57
mb_cap,1,334,6,0,0,0,0,0,63,0,57
mb_cap,1,335,6,0,0,1,0,-1,62,0,57
mb_cap,1,336,6,2,0,0,0,2,64,0,57
mb_cap,1,337,6,0,0,1,0,-1,63,0,57
mb_cap,1,338,6,0,0,0,0,0,63,0,57
mb_cap,1,339,6,0,0,1,0,-1,62,0,57
mb_cap,1,340,6,2,0,0,0,2,64,0,57
mb_cap,1,341,6,0,0,1,0,-1,63,0,57
mb_cap,1,342,6,0,6,0,6,0,63,0,57
mb_cap,1,343,6,6,8,2,5,4,67,3,60
mb_cap,1,344,6,8,2,5,2,3,70,0,60
mb_cap,1,345,6,2,2,4,1,-2,68,1,61
mb_cap,1,346,6,3,6,0,6,3,71,0,61
mb_cap,1,347,6,1,2,1,1,0,71,1,62
mb_cap,1,348,6,5,7,0,7,5,76,0,62
mb_cap,1,349,6,2,4,1,4,1,77,0,62
mb_cap,1,350,6,3,4,1,4,2,79,0,62
mb_cap,1,351,6,0,0,1,0,-1,78,0,62
mb_cap,1,352,6,2,0,0,0,2,80,0,62
mb_cap,1,353,6,2,0,3,0,-1,79,0,62
mb_cap,1,354,6,3,2,3,1,0,79,1,63
mb_cap,1,355,6,2,2,3,2,-1,78,0,63
mb_cap,1,356,6,3,0,2,0,1,79,0,63
mb_cap,1,357,6,1,0,2,0,-1,78,0,63
mb_cap,1,358,6,1,5,0,4,1,79,1,64
mb_cap,1,359,6,0,0,2,0,-2,77,0,64
mb_cap,1,360,6,4,3,1,3,3,80,0,64
mb_cap,1,361,7,3,0,2,0,1,81,0,64
mb_cap,1,362,7,1,0,1,0,0,81,0,64
mb_cap,1,363,7,2,0,3,0,-1,80,0,64
mb_cap,1,364,7,3,2,2,2,1,81,0,64
mb_cap,1,365,7,2,2,3,1,-1,80,1,65
mb_cap,1,366,7,1,0,0,0,1,81,0,65
mb_cap,1,367,7,7,9,4,8,3,84,1,66
mb_cap,1,368,7,4,3,1,1,3,87,2,68
mb_cap,1,369,7,0,0,3,0,-3,84,0,68
mb_cap,1,370,7,0,0,1,0,-1,83,0,68
mb_cap,1,371,7,1,2,1,2,0,83,0,68
mb_cap,1,372,7,2,0,0,0,2,85,0,68
mb_cap,1,373,7,0,0,2,0,-2,83,0,68
mb_cap,1,374,7,0,0,0,0,0,83,0,68
mb_cap,1,375,7,1,1,2,1,-1,82,0,68
mb_cap,1,376,7,2,0,0,0,2,84,0,68
mb_cap,1,377,7,0,1,2,1,-2,82,0,68
mb_cap,1,378,7,0,0,0,0,0,82,0,68
mb_cap,1,379,7,0,0,2,0,-2,80,0,68
mb_cap,1,380,7,3,0,1,0,2,82,0,68
mb_cap,1,381,7,0,0,1,0,-1,81,0,68
mb_cap,1,382,7,0,11,0,7,0,81,4,72
mb_cap,1,383,7,1,17,1,13,0,81,4,76
mb_cap,1,384,7,2,1,0,1,2,83,0,76
mb_cap,1,385,7,0,0,1,0,-1,82,0,76
mb_cap,1,386,7,0,3,0,2,0,82,1,77
mb_cap,1,387,7,0,0,1,0,-1,81,0,77
mb_cap,1,388,7,3,0,1,0,2,83,0,77
mb_cap,1,389,7,0,3,1,3,-1,82,0,77
mb_cap,1,390,7,0,0,0,0,0,82,0,77
mb_cap,1,391,7,0,0,2,0,-2,80,0,77
mb_cap,1,392,7,3,0,1,0,2,82,0,77
mb_cap,1,393,7,0,0,1,0,-1,81,0,77
mb_cap,1,394,7,0,0,0,0,0,81,0,77
mb_cap,1,395,7,0,0,1,0,-1,80,0,77
mb_cap,1,396,7,3,3,1,2,2,82,1,78
mb_cap,1,397,7,1,0,1,0,0,82,0,78
mb_cap,1,398,7,0,0,0,0,0,82,0,78
mb_cap,1,399,7,0,0,1,0,-1,81,0,78
mb_cap,1,400,7,2,0,0,0,2,83,0,78
mb_cap,1,401,7,0,3,2,4,-2,81,-1,77
mb_cap,1,402,7,0,6,0,4,0,81,2,79
mb_cap,1,403,7,3,1,1,2,2,83,-1,78
mb_cap,1,404,7,3,0,0,0,3,86,0,78
mb_cap,1,405,7,0,0,1,0,-1,85,0,78
mb_cap,1,406,7,0,0,2,0,-2,83,0,78
mb_cap,1,407,7,0,0,1,0,-1,82,0,78
mb_cap,1,408,7,2,0,0,0,2,84,0,78
mb_cap,1,409,7,0,0,1,0,-1,83,0,78
mb_cap,1,410,7,0,0,0,0,0,83,0,78
mb_cap,1,411,7,0,0,1,0,-1,82,0,78
mb_cap,1,412,7,1,0,0,0,1,83,0,78
mb_cap,1,413,7,1,2,0,2,1,84,0,78
mb_cap,1,414,7,1,1,2,1,-1,83,0,78
mb_cap,1,415,7,0,0,13,0,-13,70,0,78
mb_cap,1,416,7,3,0,1,0,2,72,0,78
mb_cap,1,417,7,1,2,1,2,0,72,0,78
mb_cap,1,418,7,0,5,1,4,-1,71,1,79
mb_cap,1,419,7,0,0,7,1,-7,64,-1,78
mb_cap,1,420,7,3,0,1,0,2,66,0,78
mb_cap,1,421,8,0,0,1,0,-1,65,0,78
mb_cap,1,422,8,0,0,0,0,0,65,0,78
mb_cap,1,423,8,0,0,1,0,-1,64,0,78
mb_cap,1,424,8,2,0,0,0,2,66,0,78
mb_cap,1,425,8,0,0,1,0,-1,65,0,78
mb_cap,1,426,8,0,0,0,0,0,65,0,78
mb_cap,1,427,8,0,0,1,0,-1,64,0,78
mb_cap,1,428,8,3,0,1,0,2,66,0,78
mb_cap,1,429,8,0,0,1,0,-1,65,0,78
mb_cap,1,430,8,0,3,0,0,0,65,3,81
mb_cap,1,431,8,0,3,1,4,-1,64,-1,80
mb_cap,1,432,8,3,0,0,0,3,67,0,80
mb_cap,1,433,8,0,0,1,0,-1,66,0,80
mb_cap,1,434,8,0,0,0,0,0,66,0,80
mb_cap,1,435,8,0,0,0,1,0,66,-1,79
mb_cap,1,436,8,2,0,0,0,2,68,0,79
mb_cap,1,437,8,0,4,0,3,0,68,1,80
mb_cap,1,438,8,1,3,2,3,-1,67,0,80
mb_cap,1,439,8,1,0,1,0,0,67,0,80
mb_cap,1,440,8,3,0,1,0,2,69,0,80
mb_cap,1,441,8,0,0,1,0,-1,68,0,80
mb_cap,1,442,8,0,0,0,0,0,68,0,80
mb_cap,1,443,8,1,7,1,5,0,68,2,82
mb_cap,1,444,8,3,0,3,3,0,68,-3,79
mb_cap,1,445,8,0,0,1,0,-1,67,0,79
mb_cap,1,446,8,0,0,0,1,0,67,-1,78
mb_cap,1,447,8,0,0,1,0,-1,66,0,78
mb_cap,1,448,8,3,0,0,0,3,69,0,78
mb_cap,1,449,8,0,0,1,0,-1,68,0,78
mb_cap,1,450,8,0,0,0,0,0,68,0,78
mb_cap,1,451,8,1,5,2,5,-1,67,0,78
mb_cap,1,452,8,4,0,1,0,3,70,0,78
mb_cap,1,453,8,0,0,1,0,-1,69,0,78
mb_cap,1,454,8,0,0,0,0,0,69,0,78
mb_cap,1,455,8,0,0,1,0,-1,68,0,78
mb_cap,1,456,8,3,0,0,0,3,71,0,78
mb_cap,1,457,8,0,1,1,1,-1,70,0,78
mb_cap,1,458,8,0,0,0,0,0,70,0,78
mb_cap,1,459,8,0,0,1,0,-1,69,0,78
mb_cap,1,460,8,2,0,0,0,2,71,0,78
mb_cap,1,461,8,0,0,1,0,-1,70,0,78
mb_cap,1,462,8,0,0,0,0,0,70,0,78
mb_cap,1,463,8,0,0,3,0,-3,67,0,78
mb_cap,1,464,8,3,0,1,0,2,69,0,78
mb_cap,1,465,8,0,0,1,0,-1,68,0,78
mb_cap,1,466,8,0,0,0,0,0,68,0,78
mb_cap,1,467,8,0,0,1,0,-1,67,0,78
mb_cap,1,468,8,2,1,0,0,2,69,1,79
mb_cap,1,469,8,3,4,3,3,0,69,1,80
mb_cap,1,470,8,0,0,0,0,0,69,0,80
mb_cap,1,471,8,0,0,2,0,-2,67,0,80
mb_cap,1,472,8,2,0,0,0,2,69,0,80
mb_cap,1,473,8,0,16,1,12,-1,68,4,84
mb_cap,1,474,8,1,8,0,5,1,69,3,87
mb_cap,1,475,8,0,4,2,1,-2,67,3,90
mb_cap,1,476,8,3,0,1,0,2,69,0,90
mb_cap,1,477,8,1,0,2,0,-1,68,0,90
mb_cap,1,478,8,0,6,0,5,0,68,1,91
mb_cap,1,479,8,3,7,2,5,1,69,2,93
mb_cap,1,480,8,6,27,0,19,6,75,8,101
mb_cap,1,481,9,1,2,1,2,0,75,0,101
mb_cap,1,482,9,0,0,1,0,-1,74,0,101
mb_cap,1,483,9,2,4,1,0,1,75,4,105
mb_cap,1,484,9,0,0,0,0,0,75,0,105
