site,dist,site_name,start,end,lat,lon,source,state,height,bar_ht,wmo,location,path,loc_lat,loc_lon,reqs,resps,request_time,current_temp,current_temp_time,station_id,approx_distance
006044,06,DENHAM,1893,..,-25.9265,113.5325,.....,WA,6.0,2.8,94402,"Denham, WA ",/places/wa/denham/,-25.927,113.532,,,2025-03-24T20:08:07Z,25.5,3:50am,95402,7.7
006072,06,EMU CREEK STATION,1898,..,-23.0314,115.0414,GPS,WA,111.0,112.0,94318,"Yannarie, WA ",/places/wa/95CP/?location=Yannarie,-23.031,115.041,,,2025-03-24T20:08:07Z,NA,NA,NA,NA
006092,06,BILLABONG ASA,1969,..,-26.8156,114.6133,GPS,WA,129.6,130.4,94406,"Meadow, WA ",/places/wa/8CXK/?location=Meadow,-26.816,114.613,,,2025-03-24T20:08:07Z,NA,NA,NA,NA
006099,06,MURCHISON,1987,..,-26.8956,115.9567,.....,WA,287.0,288.0,94422,"Murchison, WA ",/places/wa/murchison/,-26.896,115.957,,,2025-03-24T20:08:07Z,NA,NA,NA,NA
006105,06,SHARK BAY AIRPORT,2000,..,-25.8925,113.5772,GPS,WA,33.8,34.3,95402,"Francois Peron National Park, WA ",/places/wa/8F5N/?location=Francois Peron National Park,-25.892,113.577,,,2025-03-24T20:08:07Z,25.5,3:50am,95402,1.9
006108,06,CAPE CUVIER WHARF,2008,..,-24.2201,113.3975,SURVEY,WA,12.4,..,95301,"Macleod, WA ",/places/wa/8G62/?location=Macleod,-24.220,113.397,,,2025-03-24T20:08:07Z,26.8,3:50am,94300,80.7
006115,6,CARDABIA EAST,2024,..,-23.1289,114.0506,GPS,WA,91.0,..,94111,"Lyndon, WA ",/places/wa/8GVJ/?location=Lyndon,-23.129,114.051,,,2025-03-24T20:08:07Z,NA,NA,NA,NA
007045,07A,MEEKATHARRA AIRPORT,1944,..,-26.6136,118.5372,GPS,WA,517.0,517.9,94430,"Unnamed location, WA ",/places/wa/93ZB/?location=Unnamed location,-26.614,118.537,,,2025-03-24T20:08:07Z,25.4,3:50am,94430,1.6
007139,07A,PAYNES FIND,1919,..,-29.2708,117.6836,GPS,WA,339.0,340.0,94404,"Paynes Find, WA ",/places/wa/paynes-find/,-29.271,117.684,,,2025-03-24T20:08:07Z,22.1,3:50am,99401,89.9
007176,07,NEWMAN AERO,1971,..,-23.4213,119.8023,SURVEY,WA,524.0,524.4,94317,"Unnamed location, WA ",/places/wa/9EV0/?location=Unnamed location,-23.421,119.802,,,2025-03-24T20:08:07Z,NA,3:50am,94317,2.5
007185,07,PARABURDOO AERO,1974,..,-23.1726,117.7493,GPS,WA,423.7,424.2,94316,"Rocklea, WA ",/places/wa/97UT/?location=Rocklea,-23.173,117.749,,,2025-03-24T20:08:07Z,27.1,3:50am,94316,3.2
007301,07A,MEEKATHARRA AIRPORT (AUTO EVAP),2024,..,-26.6136,118.5372,GPS,WA,517.0,517.9,99294,"Unnamed location, WA ",/places/wa/93ZB/?location=Unnamed location,-26.614,118.537,,,2025-03-24T20:08:07Z,25.4,3:50am,94430,1.6
007600,07A,MOUNT MAGNET AERO,1995,..,-28.1156,117.8425,GPS,WA,407.0,408.5,94429,"Mount Magnet, WA ",/places/wa/92UF/?location=Mount Magnet,-28.116,117.843,,,2025-03-24T20:08:07Z,23.3,3:50am,94429,2.2
008025,08,CARNAMAH,1887,..,-29.6883,115.8857,.....,WA,268.0,..,94415,"Carnamah, WA ",/places/wa/carnamah/,-29.688,115.886,,,2025-03-24T20:08:07Z,22.9,3:50am,94417,57.4
008095,08,MULLEWA,1896,..,-28.5367,115.5142,GPS,WA,268.0,..,94411,"Mullewa, WA ",/places/wa/mullewa/,-28.537,115.514,,,2025-03-24T20:08:07Z,17.8,3:50am,94403,83.4
008137,08,WONGAN HILLS,1907,..,-30.8917,116.7186,GPS,WA,283.0,282.0,94622,"Wongan Hills, WA ",/places/wa/wongan-hills/,-30.892,116.719,,,2025-03-24T20:08:07Z,NA,3:50am,95629,69.4
008138,08,WONGAN HILLS RES.STATION,1937,..,-30.8408,116.7267,GPS,WA,305.0,..,95601,"Wongan Hills, WA ",/places/wa/3R07/?location=Wongan Hills,-30.841,116.727,,,2025-03-24T20:08:07Z,NA,3:50am,95629,64.3
008251,08,KALBARRI,1970,..,-27.7119,114.1650,GPS,WA,6.0,7.0,94401,"Kalbarri, WA ",/places/wa/kalbarri/,-27.712,114.165,,,2025-03-24T20:08:07Z,22.1,3:20am,99458,7.1
